symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
SURG,31-12-2021,51061,44891,6170,270736,12163,215156,534329,-5993,-3698,-9691,3841,-13531,136211,75630,-32034,-13531,-13531,-13531
SURG,31-12-2020,54407,51938,2469,270736,12614,215156,534329,-10146,4226,-5920,4802,-10722,136211,75630,-32034,-10722,-10722,-10722
SURG,31-12-2019,25743,22624,3119,270736,10660,215156,227,-7768,-452,-8220,227,-8447,136211,75630,-32034,-8447,-8447,-8447
SURGW,31-12-2022,121544,108075,13469,270736,12836,215156,534329,634,656,1290,1843,-553,136211,75630,-128,-681,-681,-681
SURGW,31-12-2021,51061,44891,6170,270736,12163,215156,534329,-5993,-3698,-9691,3841,-13531,136211,75630,-32034,-13531,-13531,-13531
SURGW,31-12-2020,54407,51938,2469,270736,12614,215156,534329,-10146,4226,-5920,4802,-10722,136211,75630,-32034,-10722,-10722,-10722
SURGW,31-12-2019,25743,22624,3119,270736,10660,215156,227,-7768,-452,-8220,227,-8447,136211,75630,-32034,-8447,-8447,-8447
SUZ,31-12-2022,9438126,4701224,4736902,270736,581703,215156,534329,4155199,2087820,6296879,869429,5427450,996391,53860,-32034,4484920,4431060,4431060
SUZ,31-12-2021,7354655,3701183,3653473,270736,398844,215156,534329,3254628,-920275,2343673,757864,1585809,35444,9320,-32034,1559685,1550365,1550365
SUZ,31-12-2020,5864287,3651444,2212842,270736,594258,215156,534329,1618585,-4163510,-2537967,858539,-3396506,-1333640,6958,-32034,-2055907,-2062865,-2062865
SUZ,31-12-2019,6466540,5156607,1309933,270736,664450,215156,534329,645483,-633140,20296,1038817,-1018521,-318806,7953,-32034,-691762,-699715,-699715
SVC,31-12-2022,1863011,1227357,635654,270736,59500,10989,401108,164057,42302,207150,341795,-134645,-199,2856,-32034,-267817,-132381,-132381
SVC,31-12-2021,1495580,1010737,484843,270736,133861,78620,485965,-213603,34721,-178882,365721,-544603,-941,-941,-32034,-1089206,-544603,-544603
SVC,31-12-2020,1265254,682804,582450,270736,80976,55756,498908,-53190,75419,31623,306490,-274867,17211,-9910,-32034,-595643,-311382,-311382
SVC,31-12-2019,2316148,1410927,905221,270736,64791,39296,428448,372686,114590,495727,225126,270601,2793,393,-32034,521900,259750,259750
SVFD,31-12-2022,394,158,236,771,5285,215156,534329,-5820,41948,-5780,155791,-5780,136211,75630,40,-5740,-5740,-5740
SVFD,31-12-2021,438,136,302,539,4467,215156,534329,-4704,41948,-4865,155791,-4865,136211,75630,45,-4821,-4821,-4821
SVFD,31-12-2020,232,43,189,417,1121,215156,534329,-1349,13,-1336,270,-1607,136211,75630,13,-1593,-1593,-1593
SVFD,31-12-2019,176,145,31,616,1347,215156,534329,-1931,41948,-1931,43,-1975,136211,-16,19,-1971,-1971,-1971
SVII,31-12-2022,4885368,3188738,1963046,270736,249,215156,534329,-249,1688,1439,155791,1439,136211,75630,-32034,1439,1439,1439
SVII,31-12-2021,4885368,3188738,1963046,270736,12,215156,534329,-12,41948,-12,155791,-12,136211,75630,-32034,-12,-12,-12
SVIIW,31-12-2022,4885368,3188738,1963046,270736,249,215156,534329,-249,1688,1439,155791,1439,136211,75630,-32034,1439,1439,1439
SVIIW,31-12-2021,4885368,3188738,1963046,270736,12,215156,534329,-12,41948,-12,155791,-12,136211,75630,-32034,-12,-12,-12
SVM,31-03-2023,208129,124471,83658,438,28334,20211,534329,34675,9052,38401,3258,35143,14043,-5326,-32034,15774,21100,21100
